Protein_name	Condition1_Rep_1_Frac1	Condition1_Rep_1_Frac2	Condition1_Rep_1_Frac3	Condition1_Rep_1_Frac4	Condition1_Rep_1_Frac5	Condition1_Rep_1_Frac6	Condition1_Rep_1_Frac7	Condition1_Rep_1_Frac8	Condition1_Rep_1_Frac9	Condition1_Rep_1_Frac10	Condition1_Rep_1_Frac11	Condition1_Rep_1_Frac12	Condition1_Rep_1_Frac13	Condition1_Rep_1_Frac14	Condition1_Rep_1_Frac15	Condition1_Rep_1_Frac16	Condition1_Rep_1_Frac17	Condition1_Rep_1_Frac18	Condition1_Rep_1_Frac19	Condition1_Rep_1_Frac20	Condition1_Rep_1_Frac21	Condition1_Rep_1_Frac22	Condition1_Rep_1_Frac23	Condition1_Rep_1_Frac24	Condition1_Rep_1_Frac25	Condition1_Rep_1_Frac26	Condition1_Rep_1_Frac27	Condition1_Rep_1_Frac28	Condition1_Rep_1_Frac29	Condition1_Rep_1_Frac30	Condition1_Rep_1_Frac31	Condition1_Rep_1_Frac32	Condition1_Rep_1_Frac33	Condition1_Rep_1_Frac34	Condition1_Rep_1_Frac35	Condition1_Rep_1_Frac36	Condition1_Rep_1_Frac37	Condition1_Rep_1_Frac38	Condition1_Rep_1_Frac39	Condition1_Rep_1_Frac40	Condition2_Rep_1_Frac1	Condition2_Rep_1_Frac2	Condition2_Rep_1_Frac3	Condition2_Rep_1_Frac4	Condition2_Rep_1_Frac5	Condition2_Rep_1_Frac6	Condition2_Rep_1_Frac7	Condition2_Rep_1_Frac8	Condition2_Rep_1_Frac9	Condition2_Rep_1_Frac10	Condition2_Rep_1_Frac11	Condition2_Rep_1_Frac12	Condition2_Rep_1_Frac13	Condition2_Rep_1_Frac14	Condition2_Rep_1_Frac15	Condition2_Rep_1_Frac16	Condition2_Rep_1_Frac17	Condition2_Rep_1_Frac18	Condition2_Rep_1_Frac19	Condition2_Rep_1_Frac20	Condition2_Rep_1_Frac21	Condition2_Rep_1_Frac22	Condition2_Rep_1_Frac23	Condition2_Rep_1_Frac24	Condition2_Rep_1_Frac25	Condition2_Rep_1_Frac26	Condition2_Rep_1_Frac27	Condition2_Rep_1_Frac28	Condition2_Rep_1_Frac29	Condition2_Rep_1_Frac30	Condition2_Rep_1_Frac31	Condition2_Rep_1_Frac32	Condition2_Rep_1_Frac33	Condition2_Rep_1_Frac34	Condition2_Rep_1_Frac35	Condition2_Rep_1_Frac36	Condition2_Rep_1_Frac37	Condition2_Rep_1_Frac38	Condition2_Rep_1_Frac39	Condition2_Rep_1_Frac40	Condition3_Rep_1_Frac1	Condition3_Rep_1_Frac2	Condition3_Rep_1_Frac3	Condition3_Rep_1_Frac4	Condition3_Rep_1_Frac5	Condition3_Rep_1_Frac6	Condition3_Rep_1_Frac7	Condition3_Rep_1_Frac8	Condition3_Rep_1_Frac9	Condition3_Rep_1_Frac10	Condition3_Rep_1_Frac11	Condition3_Rep_1_Frac12	Condition3_Rep_1_Frac13	Condition3_Rep_1_Frac14	Condition3_Rep_1_Frac15	Condition3_Rep_1_Frac16	Condition3_Rep_1_Frac17	Condition3_Rep_1_Frac18	Condition3_Rep_1_Frac19	Condition3_Rep_1_Frac20	Condition3_Rep_1_Frac21	Condition3_Rep_1_Frac22	Condition3_Rep_1_Frac23	Condition3_Rep_1_Frac24	Condition3_Rep_1_Frac25	Condition3_Rep_1_Frac26	Condition3_Rep_1_Frac27	Condition3_Rep_1_Frac28	Condition3_Rep_1_Frac29	Condition3_Rep_1_Frac30	Condition3_Rep_1_Frac31	Condition3_Rep_1_Frac32	Condition3_Rep_1_Frac33	Condition3_Rep_1_Frac34	Condition3_Rep_1_Frac35	Condition3_Rep_1_Frac36	Condition3_Rep_1_Frac37	Condition3_Rep_1_Frac38	Condition3_Rep_1_Frac39	Condition3_Rep_1_Frac40
Protein0001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1708700	1776100	5086600	17889000	85393000	8971200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8181600	116080000	133210000	30909000	7602200	13973000	9120800	9192300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15670000
Protein0002	0	0	0	0	0	0	51249000	572940000	550180000	1654100000	1167400000	726160000	460720000	68736000	31153000	180400000	32912000	101820000	0	7343500	4270100	0	0	0	26138000	19667000	3680700	0	0	2289800	0	0	0	0	0	0	0	0	0	0	1098500	3691100	1117400	0	0	2348200	19557000	164990000	493130000	1322200000	476780000	642650000	489100000	84589000	87722000	6961800	7383900	2467200	10904000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2515800	4790100	26756000	73133000	14708000	24399000	0	7546200	0	0	0	0	0	0	0	0	130520000	19450000	48151000	0	6049000	12154000	0	0	0	0	0	0	0	0	0	0
Protein0003	14721000	28028000	58515000	25901000	36552000	14545000	10195000	6907900	4443800	0	3314300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10439000	24622000	13185000	28039000	29603000	31108000	12032000	9969600	5964200	0	5253900	4863500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9630100	10110000	5172000	6278600	3236900	5340400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0004	22562000	75051000	60294000	21191000	14686000	6541200	3686500	0	0	0	0	0	0	0	0	0	0	17164000	0	0	0	0	0	0	0	0	0	0	0	0	0	1857300	9762900	11010000	0	0	0	0	0	0	28781000	87471000	70349000	87968000	47043000	22161000	17531000	0	7238900	6173100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3204700	16010000	37487000	59954000	21056000	24790000	25459000	17823000	2967000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0005	0	0	0	0	0	0	0	4172000	0	0	0	47002000	67750000	3498600	70529000	674490000	724870000	2433100000	143930000	260610000	191730000	250080000	284690000	18470000	325130000	110350000	44718000	0	0	148190000	22742000	3677900	11415000	2934300	4859000	10818000	0	0	0	0	0	0	0	0	0	0	0	0	0	15240000	0	0	0	0	122260000	582720000	417850000	663930000	1765500000	1094000000	1356200000	315590000	129810000	33040000	17332000	1853600	3577500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19254000	46315000	229270000	38446000	1049900000	383140000	147190000	836770000	902770000	148730000	118550000	250120000	37467000	55846000	0	29578000	29126000	27163000	33991000	20627000	0	0	0	0	0	0	0
Protein0006	39040000	120190000	140520000	182180000	172060000	172840000	216490000	1111800000	308620000	470320000	270920000	316730000	359770000	63870000	59108000	255900000	119600000	304870000	9011800	105670000	155780000	530410000	478190000	126010000	744250000	206300000	63011000	1891800	961320	55590000	22772000	46040000	309360000	444870000	813350000	495480000	311630000	192660000	172500000	114540000	254620000	399470000	322000000	647210000	941820000	493710000	1144200000	1010200000	857510000	813830000	298910000	241570000	213750000	86069000	173980000	118980000	104470000	22596000	161270000	153350000	77583000	380110000	322120000	118600000	120060000	70308000	45675000	580690	2387200	1836400	1045700	67944000	128410000	242940000	437830000	233500000	135220000	96627000	53728000	23674000	311620000	240030000	583310000	880040000	945480000	833930000	951360000	401780000	339020000	247730000	151340000	143000000	83589000	66043000	29672000	29492000	0	0	0	649960	68640000	221310000	68273000	112580000	131830000	64496000	34011000	3401300	5664000	4731900	8181100	11004000	17133000	23512000	29624000	17421000	14608000	6274500	3102500	1034100
Protein0007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2146600	0	0	13267000	34118000	66016000	7072200	117090000	13988000	0	0	0	0	0	0	18520000	31262000	92695000	93513000	138810000	123090000	91660000	92035000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1633000	0	11277000	21930000	12544000	8030000	0	0	0	0	0	0	0	0	0	0	7309200	51542000	102350000	87504000	143020000	60882000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2355000	0	0	0	0	0	0	0	0	0	0	0	9685100	0	0	0	0	0	4381100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Protein0009	28435000000	59865000000	53725000000	29271000000	15178000000	19344000000	10379000000	6447800000	5333400000	4339300000	2597500000	1268700000	1350600000	731950000	600670000	471860000	276650000	731320000	107430000	121180000	178030000	165760000	21288000	71845000	151210000	74272000	33459000	9401800	9254200	68069000	8781000	11775000	20666000	26302000	32672000	17916000	18617000	21015000	25281000	34563000	21964000000	54829000000	37540000000	57041000000	32363000000	9234200000	10481000000	4604800000	4058300000	5131400000	1330100000	1391400000	1014800000	962730000	831290000	941610000	373710000	335600000	554330000	362470000	582410000	209610000	127780000	48998000	167560000	37276000	29222000	0	0	0	0	4102000	3435700	10051000	22518000	34494000	29090000	31076000	37226000	30727000	9224300000	17211000000	24678000000	29499000000	8576000000	4423700000	2839400000	2437600000	655100000	625880000	853930000	476100000	257870000	543020000	373710000	132350000	8369600	95929000	20581000	8152800	47444000	118020000	16129000	25581000	38324000	19470000	27158000	2255600	12833000	7521500	2912600	0	0	0	0	0	0	0	0	0
Protein0010	24349000	36086000	9087700	0	0	7160500	5004800	11258000	10201000	13957000	6653100	0	19029000	23786000	48145000	134140000	113740000	409360000	71279000	216750000	620170000	734550000	1107200000	1057200000	5400900000	2289500000	1571500000	242810000	152950000	779180000	109330000	78924000	176730000	83694000	97811000	49944000	83181000	99620000	153070000	415970000	10704000	12030000	25022000	19132000	15047000	0	7858100	8145300	8107100	10559000	0	0	0	16295000	35665000	108010000	37600000	57562000	243640000	150420000	674580000	524100000	885790000	553870000	699580000	535590000	388690000	22907000	67485000	57366000	17474000	100200000	34564000	29728000	92111000	101850000	188100000	223520000	634150000	540960000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27034000	0	42237000	87601000	52128000	76577000	0	0	0	0	0	0	0	0	2421900	36065000	79165000	248310000	692260000
